id,user,password
iApC,IVLS4,mTx9mqioDPcGuDaA
ckr8,jgfg5,sOr9wOHde
IR4B,jKWYV,xufnFK9TQPb6x9
RMo6,1XCrm,HbEoAuENdKvB65
xBGk,HMxd1,Rwl0WO8Tzyf9pDR5
R9yF,oU6Al,j6ShvcQL
oNzs,50Ro0,CCcki22zjoML
OV61,b4AH0,spfeEgBgUob2Nb
lcrl,oSREx,Vlykcbjy3bDVEk
qexD,BPj1a,H3yRwT6Q1sm3XoMo
Qt6j,edkfS,C7MLUni69Pu7rjxU
KP7r,yrNyA,TWTfPKzk
Xmnp,YO45h,P0oEXQP9
bc0y,M0J7E,SkjVpg6Wj
ROCo,PlB1W,BhyarwvDbAm0E
h9Nx,r7Hm7,lLYJ7Oe2taqK
65JJ,N5YW4,w64kUQTGm
skX7,vxiBX,4aV7jFNN8s6XBJ
8cnK,ze6Ib,uyYL8X2wfe42J
iBsv,G5OQt,gv4IQzfEQieibvms
RL3d,dF95g,1RUqTdBkjNFFrpmH
FAM4,YFNHT,HmyDpDYmR6
sL9W,teIwY,TloKxBsiuGIws
0lAN,SCkml,cRCtxWQrtpj
7i7V,QnNpE,wgsfICVoU
z74N,Os9t0,H91GtabBaFbyuKoH
Dikb,4t1NE,MaNwRtNP
WTe7,1eIm1,ufAvbfm9yH
rUYX,vNpCJ,5ryfBUnK7ADaWTeM
UaV3,9bKFw,fdbzpD3fFQKM6D
kIj8,zNHRi,2GvbVaOWAgLoIxRw
QvqW,w9Hjp,55RscXQFUcn6UBY
a2uX,kuBBH,l4o497HuGdmcaqTF
Sgai,F8DUX,agE2MCMdg
VEhB,7RSpy,x3GlIWJCJ0MN1h
3en4,vfA8A,dUow8Pgg3TAPy25
LFBk,CJB8b,hScDgtsNW5
U0Q5,oub4B,BplW3VplKfQA
EGjD,UhAy2,DBpkMGVm
81U2,iyfC0,e6EpAiaO2nvP
ptmw,02Juq,Q5tbO3TYIC
kCMK,IL2VC,JU35V830MBQ1o8j
OEr6,fHPJk,LQ7B99XCYyB
ry8k,opOst,Svj3nkfKu6pJm
MPR6,y8kKP,U5cqwEW0NBA
MrXv,ecs3h,4B5l0HdvFKWb
vPqY,fy8gp,n9dI6O9NM
VRr3,5oqGt,sRInWnY8jM3u9K
ReU0,H4crH,fOYQxGBiMzk
jAPn,LJYdV,T1XJANv0slfl
EYOx,FftCn,alUCrmxsGd9
E5Ys,lzz2V,9wzFxbMdwkx1LKo
BYt0,9DTAy,GAXO9dXbS4crgiM
Qqjs,QDKWu,nSDVHWFcEm
vULt,ApdfI,AzFaSRXz8
hFqc,BvE3D,Qe6X8u3pH
TFc8,VB9TQ,iBySnUxBT3se
P59K,twxwp,rIu5SjwJ
Xtxx,i3gcp,boHtBMu6
mPV6,6KIPi,zy7XqIYBkA
O6jB,kmPzT,hUGG59qcDGNabB
x0GH,RvUOS,tggyYFvg
3zVf,AM00t,EC1SHv9d5OBvN6q
vhzA,UOEsR,U2iOz3wH4q3ov3c
z1yX,HK3ow,di7naASRcf9hUNs
3Lvl,Usfn0,YVs0KOP03lj1URq2
FljN,4WxLb,lpo1Iqzz6BpGiex
LPqS,l2odd,VtwScVSpD2C6R
agoM,nz7il,3YAw5aDyGn2p
ReaF,NLgi8,E1NH7ei5vcT
dENr,eWCWT,NeoYgCoTl7
b8hj,dd1S1,eFgmLSHuK
Ht0w,yJrU8,z8CaJe9s0yVgL
sOVA,bpVGe,y3ltMYG0
zwPg,sIR4y,uc5Le58HnY
7LUd,dbSdE,6UvQ3uuFFxm1U
KPMg,jP0RO,mWUVfto4wSt
CFqv,n3HMB,lssARvhXaFR
XPRB,NwRdQ,QlXPqpBOsdL
Tt39,uWpsv,urC0CAfG
GmyS,uFyxg,eghk1RRJsUje
Gc4e,FKePS,OHLl7EgQ
ajmh,wJVhy,JLngi3ax
mWsU,nNpFR,V0aVimzGRV
OxOb,hGae9,MFHswa1C44er
yLty,R8HVG,L7NAYh97
0Xik,vpdq1,XPg1THUBoxF
omlj,I3Lv0,eDMwBydJpaz
rJMG,J17Tp,5excoTG3rvg
BsQN,cKRdq,mWQgCmo5z5bO
J1xn,peUPs,R4cHMeIG
Ebf3,K93CN,hW0TTIjmhlqYudn
9fWd,dqXMI,Hdt9CKbA
UM0p,QP1gM,NYLr0VB1NYjBD
DeoP,784Ma,IrfeqUh56QP0
o8ve,8XsR5,TUinON1cQLbANiln
GnNN,rpO4c,kPWLQkfHLw3zGQAR
Xuol,nohsS,5UFoeoDYdpt4x3U4
bzdc,rw7Tf,97XSe0bEeWK7h
y3qK,kLf1N,BSGvqHAYyiSoLy4
